uuid,사업자명,리뷰본문,키워드
e9641814-8445-4959-af91-9ae0ede02f19,솔솥 센터원점,점심시간에 동료분들이랑 방문했어요! 오래 기다릴 줄 알았는데 자리가 금방 빠지더라구요 1인분씩 예쁘게 나와서 먹기 좋았어요!,"매장이 넓어요, 음식이 맛있어요, 특별한 메뉴가 있어요"
5cede2a9-78d0-400d-be51-cc769cccdb8f,솔솥 센터원점,"추운날이라 뜨끈하게 솥밥 머그러왔어요!
각자 원하는 메뉴로 골랐는데 재료 양도 넉넉하고 밥도 넉넉하구 숭늉까지 먹을수있어서 정말 최고의맛집... 을지로 센터원 솔솥 강추합니다❤️","음식이 맛있어요, 재료가 신선해요, 양이 많아요"
e10232c2-4ccb-46a0-9587-7aed240e0449,솔솥 센터원점,종종오는 솥밥집. 천천히 먹을수 있어서 좋음. 맛도 좋음.  비교적 클린한 식단.,"음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요"
3031625f-c392-4827-be60-62181384a8a0,솔솥 센터원점,"도미관자덮밥.
깔끔한 맛에 소화가 잘 되네요
관자추가 추천합니다
맛좋은 건강식입니다","음식이 맛있어요, 특별한 메뉴가 있어요, 비싼 만큼 가치있어요, 혼밥하기 좋아요, 차분한 분위기에요"
2f8dd33d-ef6d-472c-b09e-4961a8095dc9,솔솥 센터원점,"항상 스테이크 덮밥과 대파차돌덮밥에 유린기 먹는데,
양도 충분하고 맛있어요. 특히 센터원 지점은 공간이 넓어서 웨이팅 없어서 좋아요.","음식이 맛있어요, 특별한 메뉴가 있어요, 매장이 넓어요, 혼밥하기 좋아요, 매장이 청결해요"
f9a89828-7c57-4afe-b80d-3dcf10c1a0ca,솔솥 센터원점,정말 맛있네요. 건강해지는 맛!!!,음식이 맛있어요
369ecabb-fbaf-4b32-bda0-4354eff7aeb6,솔솥 센터원점,"솔솥 워낙 좋아해서 근처에 있으면 꼭 들리는 곳인데 명동 근처에도 있다니 너무 좋아요!!😊
맛있게 먹고 갑니다~~!
메뉴 구성도, 맛도 역시 최고에요","친절해요, 매장이 청결해요, 음식이 맛있어요, 매장이 넓어요"
40176ae3-f22c-459f-bf5b-3f7474a3fdc2,솔솥 센터원점,"벌써 네번째 방문인데 리뷰는 처음이네요
올때마다 신선하고 건강한 밥상이라 먹고나서도 든든하고 기분이 좋아져요! 좌석이 좀 더 넓으면 좋겠지만 매번 잘먹고갑니다!","음식이 맛있어요, 재료가 신선해요, 건강한 맛이에요"
22628b87-6b68-43fe-acb2-50f46354bb30,솔솥 센터원점,맛있어요~ 회사 점심시간 이용해서 자주 오는곳이예요 ^^,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 매장이 넓어요"
2cf5a3d0-952d-474c-b8cf-7b993120f327,솔솥 센터원점,믿고 먹는 솔솥ㅎㅎ너무 맛나요,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요"
939decd9-2b7d-4f1d-b795-a13b01ca86b8,솔솥 센터원점,체인점이라 다른 지역에도 솔솥이 있어서 종종 가는데  매장마다 다르겠습니다만 센터원점은 조명이 차분하고 다양한 구성의 테이블이 많아 좋습니다. 솥밥이라 음식 만드는데 시간은 좀 걸리나 음식이 깔끔하고 직원들이 친절하며 태블릿으로 주문할 수 있어 편리합니다. 조용히 든든한 솥밥을 먹기에 좋습니다. 점심은 모르겠으나 저녁은 그리 붐비지 않아 더 좋네요.,"음식이 맛있어요, 건강한 맛이에요, 비싼 만큼 가치있어요, 혼밥하기 좋아요, 차분한 분위기에요"
78e97c4c-911f-47cc-abb1-470a1cd4a533,솔솥 센터원점,"맛집입니다 솥밥 먹고 싶을때 오면 좋은곳
스테이크가 더 맛있어용 장어도 괜찮아요 ㅎㅎ","음식이 맛있어요, 특별한 메뉴가 있어요, 매장이 넓어요"
0f9bbc5d-5792-43f5-b9cf-cd9a0ef60f15,솔솥 센터원점,"스테이크 솥밥도, 연어솥밥도 다 맛있어요!!","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 인테리어가 멋져요"
0dd145b0-6d0e-44f6-8ad5-b5a097e0b3b1,솔솥 센터원점,"너무푸짐하고 맛나요!!!!
반찬도ㅠ푸짐허고 맛있습니다♡♡",
3b342b9a-aad4-4c6e-a852-d74b9ee1dfb7,솔솥 센터원점,"가볍게 솥밥을 즐길 수 있습니다.
전반적으로 밥의 상태와 재료가 훌륭해요","음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요"
b7f8754c-3cbd-45f7-adff-9948f84d00aa,솔솥 센터원점,"스테이크솥밥 먹고싶을 때마다와요
생선 좋아하시면 도미도 추천!","음식이 맛있어요, 재료가 신선해요, 양이 많아요"
2891dad5-023a-4e47-bc9a-383f5902479f,맛있는집,"메뉴 하나하나 너무 맛있고 이렇게 세 메뉴 조합 최고였어요👍🏻
오렌지 치킨, 상하이로포크, 차돌마라탕면
바삭하고 깊고 매콤하고 세 조합이 좋아서 추천이에요
다 맛있는데 제 원픽은 오렌지치킨! 꼭 드셔보세요💛","인테리어가 멋져요, 음식이 맛있어요, 특별한 메뉴가 있어요"
ac99148a-09b6-4b4d-b05b-eb4e41865665,맛있는집,늘 맛있어요. 음식이 정말 빨리 나왔어요ㅋ 급할때 먹고가도 좋을공간,"음식이 맛있어요, 특별한 메뉴가 있어요, 음식이 빨리 나와요"
9c643639-8e0d-438d-88d3-98b497ce9d30,맛있는집,"새우볶음밥, 오렌지치킨, 차우멘 다 맛있고 깔끔하니 좋네요!!!","음식이 맛있어요, 인테리어가 멋져요, 친절해요"
e6a1107d-1c88-4305-8d58-c4c9156df354,맛있는집,마라탕면 맵찔이에게도 알싸한 매운 맛이라 마라탕쳐돌이라면 사랑할 맛입니다. 개인적으로 제너럴 쏘 치킨보단 걍 오렌지 치킨이 나은 듯해요!,"인테리어가 멋져요, 매장이 넓어요, 음식이 맛있어요"
6f89b6e2-d889-4910-bc9d-ea2960c49812,맛있는집,"음식도 맛있도 직원분들도 친절했어요! 사전에 예약을 안 하고 갔다면 만석이었을텐데, 예약을 하고 가서 바로 입장할 수 있었습니다🫶🏻

마라탕면을 평소 안 먹었는데, 차알에서 처음 먹었는데 정말 맛있었어요😆💓","인테리어가 멋져요, 음식이 맛있어요, 특별한 메뉴가 있어요"
f21d6878-4e0a-4040-bf21-83fe30b9f852,맛있는집,"다 맛있어요~~^^
여럿이 가서 다양하게 맛보면 좋을 것 같아요!","음식이 맛있어요, 인테리어가 멋져요, 매장이 넓어요"
d173951a-11a3-407b-bba9-8c0f3e5d31e7,맛있는집,"🍴마라탕면, xo볶음밥, 차우멘
음식이 다 깔끔하고 맛있어요👍 마라탕면 추천합니다","음식이 맛있어요, 양이 많아요, 메뉴 구성이 알차요"
91cb2742-0e4f-4334-a32e-b6f76abb0045,맛있는집,"겉으로 보이는 매장보다 생각보다 안쪽으로 자리가 많이 있었습니다. 그런데 제가 웨이팅 리스트 작성하고 매장에 입장하기 전까지 웨이팅 리스트를 한번도 체크 안하시더군요. 분명 식사를 하고 나오는 사람들이 많았는데 부르지 않길래 이상해서 직원한테 얘기하려고하니 그제서야 들어오라고 이름 호명했습니다. 들어가보니 안쪽에 빈 자리가 꽤 많아서 입장부터 혼란스러웠고, 저보다 한참 뒤에 온 사람들과 같이 입장해서 음식도 늦게 나오는 게 이럴거면 웨이팅 시스템이 왜 있나싶네요. 웨이팅 리스트 확인 잘 안실거면 테이블링 같은 전자시스템 도입하시는 게 낫겠습니다. 식당 음식 대비 웨이팅 손님 응대 수준이 너무 떨어지네요.","음식이 맛있어요, 특별한 메뉴가 있어요, 매장이 넓어요, 대화하기 좋아요"
